,adjacent_sheep,unique_id,initial_energy,resulting_energy,reproduced,step_no,age,eat
0,0,76,174.84000000000003,157.80000000000004,false,4,4,false
0,0,84,133.84000000000003,116.80000000000004,true,4,4,false
0,0,155,201,183.96,false,4,0,false
0,1,80,193.84000000000003,219.30000000000004,false,4,4,true
0,0,112,183.96,166.92000000000002,false,4,1,false
0,0,81,160.84000000000003,143.80000000000004,false,4,4,false
0,0,88,149.88000000000002,132.84000000000003,false,4,3,false
0,0,77,192.84000000000003,175.80000000000004,false,4,4,false
0,0,55,139.80000000000004,122.76000000000005,false,5,5,false
0,0,57,224.80000000000004,207.76000000000005,false,5,5,false
0,1,58,165.80000000000004,148.76000000000005,false,5,5,false
0,0,56,134.80000000000004,117.76000000000005,false,5,5,false
0,0,64,176.80000000000004,159.76000000000005,false,5,5,false
0,1,60,165.80000000000004,191.26000000000005,false,5,5,true
0,0,61,197.8,180.76000000000002,false,5,5,false
0,0,69,196.8,179.76000000000002,false,5,5,false
0,0,59,162.80000000000004,145.76000000000005,false,5,5,false
0,0,63,152.80000000000004,135.76000000000005,false,5,5,false
0,0,67,155.80000000000004,138.76000000000005,false,5,5,false
0,0,65,127.80000000000004,110.76000000000005,false,5,5,false
0,0,66,131.80000000000004,114.76000000000005,false,5,5,false
0,0,73,157.80000000000004,140.76000000000005,false,5,5,false
0,0,62,165.80000000000004,148.76000000000005,false,5,5,false
0,1,74,191.30000000000004,216.76000000000005,false,5,5,true
0,0,75,125.80000000000004,108.76000000000005,false,5,5,false
0,0,72,165.80000000000004,148.76000000000005,false,5,5,false
0,0,71,128.80000000000004,111.76000000000005,false,5,5,false
0,0,68,118.80000000000004,101.76000000000005,false,5,5,false
0,0,70,127.80000000000004,110.76000000000005,false,5,5,false
0,1,76,157.80000000000004,140.76000000000005,false,5,5,false
0,0,81,143.80000000000004,126.76000000000005,false,5,5,false
0,0,79,173.80000000000004,156.76000000000005,false,5,5,false
0,0,77,175.80000000000004,158.76000000000005,false,5,5,false
0,0,83,146.80000000000004,129.76000000000005,false,5,5,false
0,0,82,187.80000000000004,170.76000000000005,false,5,5,false
0,0,155,183.96,166.92000000000002,false,5,1,false
0,0,88,132.84000000000003,115.80000000000004,false,5,4,false
0,0,78,180.80000000000004,163.76000000000005,false,5,5,false
0,0,84,116.80000000000004,99.76000000000005,false,5,5,false
0,0,112,166.92000000000002,149.88000000000002,false,5,2,false
0,0,230,201,183.96,false,5,0,false
0,1,80,219.30000000000004,202.26000000000005,false,5,5,false
0,0,229,201,183.96,false,5,0,false
